elo1,elo2
1640.525,1507.387
1576.029,1475.364
1460.83,1472.798
1324.888,1653.201
1331.767,1641.078
1406.684,1527.869
1607.471,1432.684
1503.755,1475.016
1437.908,1628.911
1594.503,1598.554
1567.111,1316.399
1493.837,1607.444
1423.678,1544.894
1616.027,1436.207
1542.022,1389.658
1443.34,1489.02
1605.891,1484.164
1523.623,1344.857
1490.288,1429.353
1585.613,1527.77
1356.818,1421.716
1637.466,1578.604
1425.753,1661.69
1494.608,1616.477
1529.341,1618.271
1427.733,1471.783
1574.307,1480.28
1567.065,1646.099
1569.97,1401.508
1624.5,1409.498
1550.443,1485.636
1503.851,1402.263
1565.945,1496.401
1381.237,1621.002
1677.944,1625.449
1339.139,1376.27
1415.79,1435.959
1309.202,1547.438
1629.25,1468.438
1467.15,1467.029
1587.558,1404.749
1442.386,1384.599
1476.803,1596.095
1495.303,1389.468
1631.042,1686.816
1562.65,1403.291
1293.99,1463.728
1352.969,1404.214
1617.069,1516.57
1362.441,1585.544
1598.948,1582.01
1616.577,1567.642
1581.214,1630.732
1433.852,1443.382
1577.036,1575.398
1490.797,1422.721
1432.204,1495.862
1599.743,1390.543
1452.567,1554.999
1629.219,1644.038
1680.097,1593.16
1453.649,1323.331
1387.169,1284.63
1404.265,1473.089
1399.147,1637.761
1502.907,1560.815
1587.321,1421.412
1449.587,1355.568
1614.178,1394.28
1514.78,1439.105
1522.439,1606.45
1437.692,1379.732
1398.738,1599.677
1488.962,1516.443
1497.622,1603.96
1547.279,1587.941
1386.326,1277.519
1659.079,1439.543
1612.27,1485.126
1564.492,1666.808
1543.462,1375.321
1363.232,1494.281
1431.738,1456.979
1459.603,1583.536
1630.561,1666.884
1454.191,1381.032
1461.943,1476.933
1600.74,1623.551
1288.525,1576.122
1348.175,1619.442
1413.534,1509.446
1384.907,1559.098
1617.383,1518.045
1595.199,1620.463
1406.844,1500.06
1431.814,1506.054
1566.662,1354.145
1540.387,1443.135
1501.497,1410.294
1467.247,1430.86
1521.128,1646.467
1483.189,1417.021
1562.771,1569.795
1558.953,1457.599
1392.378,1604.258
1568.614,1504.985
1497.33,1610.018
1557.408,1571.972
1531.635,1545.466
1517.196,1594.683
1633.966,1406.233
1442.113,1576.624
1468.436,1558.599
1528.133,1430.906
1612.184,1495.738
1344.183,1537.882
1424.923,1480.57
1619.508,1548.116
1417.537,1534.366
1404.473,1469.678
1473.382,1377.127
1475.999,1633.229
1590.669,1633.653
1398.946,1436.291
1597.692,1429.339
1444.812,1418.805
1487.718,1498.542
1518.066,1436.366
1540.234,1620.801
1509.89,1421.045
1452.572,1487.121
1414.218,1372.175
1656.656,1433.837
1520.063,1417.775
1613.337,1557.038
1533.972,1641.253
1471.307,1569.769
1514.954,1608.509
1664.605,1431.867
1534.661,1644.37
1477.232,1663.45
1407.044,1462.461
1419.771,1584.544
1400.483,1585.831
1654.552,1414.49
1537.355,1510.619
1427.043,1516.664
1418.522,1354.527
1401.054,1420.747
1462.562,1523.891
1400.298,1670.514
1554.341,1410.216
1610.469,1409.161
1553.149,1542.194
1594.099,1440.441
1492.291,1433.304
1496.76,1534.547
1341.859,1551.214
1425.959,1377.213
1623.409,1568.563
1421.503,1517.273
1545.874,1486.735
1406.269,1431.189
1662.774,1581.269
1573.449,1572
1424.675,1376.301
1609.277,1484.773
1413.842,1454.002
1402.014,1473.8
1508.748,1582.694
1619.047,1500.921
1326.437,1670.594
1389.33,1423.696
1448.944,1522.558
1566.637,1523.343
1461.156,1647.116
1558.809,1400.583
1562.543,1585.596
1559.98,1396.31
1504.448,1579.582
1510.397,1317.869
1598.166,1585.469
1386.915,1510.106
1371.366,1601.274
1543.068,1618.287
1564.893,1416.381
1518.694,1679.161
1506,1570.395
1465.502,1583.246
1548.375,1480.929
1388.997,1416.717
1475.763,1384.595
1384.47,1552.695
1571.82,1456.086
1547.929,1590.28
1365.874,1618.931
1514.991,1353.709
1617.491,1570.613
1494.484,1367.43
1313.276,1538.9
1500.819,1349.627
1554.968,1571.075
1645.16,1474.336
1529.591,1566.144
1410.661,1539.605
1545.13,1536.79
1558.095,1525.487
1501.859,1516.563
1360.068,1398.413
1596.284,1600.041
1553.576,1501.847
1566.07,1343.212
1350.317,1549.499
1478.407,1452.034
1526.001,1526.231
1654.025,1622.033
1565.357,1542.159
1465.472,1388.52
1424.035,1420.152
1580.114,1517.012
1396.046,1635.576
1586.832,1509.475
1381.946,1439.116
1335.025,1491.325
1591.218,1374.718
1605.108,1523.95
1566.927,1329.676
1510.294,1479.274
1507.23,1574.258
1376.535,1547.325
1560.19,1570.14
1494.471,1545.001
1448.141,1488.496
1640.482,1574.107
1377.366,1558.196
1558.741,1528.46
1571.524,1523.591
1478.401,1656.393
1392.646,1401.262
1564.674,1501.071
1588.027,1538.402
1529.699,1373.012
1493.461,1515.1
1428.416,1458.236
1654.256,1311.25
1571.589,1501.51
1459.869,1594.798
1395.4,1557.534
1513.292,1464.965
1388.094,1497.606
1589.193,1617.247
1521.749,1564.34
1637.188,1473.746
1306.459,1422.27
1580.778,1436.551
1505.922,1551.35
1543.596,1548.619
1577.81,1516.384
1659.047,1412.906
1437.419,1405.814
1484.967,1363.505
1522.861,1539.206
1647.573,1363.862
1521.838,1594.817
1522.322,1463.362
1488.031,1614.608
1567.255,1591.833
1533.368,1380.989
1455.935,1443.031
1386.081,1462.243
1549.19,1285.697
1598.058,1494.214
1422.512,1526.938
