0,0,Round 1,Round 1,0,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
39,NYK,Slavko Vranes\vranesl01,0,1,1,3,0,0,0,0,0,0,3,0,0,0,0,-0.371,-21.4,0
40,GSW,Derrick Zimmerman\zimmede01,Mississippi State University,1,2,32,4,4,7,0.667,0,0,16,2,2,3.5,0,0.004,-9.7,-0.1
41,SEA,Willie Green\greenwi01,University of Detroit Mercy,12,731,14783,6059,1303,1018,0.425,0.346,0.765,20.2,8.3,1.8,1.4,12.9,0.042,-3.6,-5.9
42,ORL,Zaza Pachulia\pachuza01,0,16,1079,22059,7362,6268,1411,0.47,0,0.75,20.4,6.8,5.8,1.3,52.5,0.114,-0.2,9.8
43,MIL,Keith Bogans\boganke01,University of Kentucky,11,671,14527,4257,1817,866,0.394,0.353,0.716,21.6,6.3,2.7,1.3,20.4,0.068,-0.8,4.5
44,HOU,Malick Badiane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,CHI,Matt Bonner\bonnema01,University of Florida,12,792,13356,4632,2371,552,0.464,0.414,0.78,16.9,5.8,3,0.7,38.5,0.138,1,10.1
46,DEN,Sani Becirovic\becirsa01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,UTA,Mo Williams\willima01,University of Alabama,13,818,23872,10759,2264,3990,0.434,0.378,0.871,29.2,13.2,2.8,4.9,40,0.08,-0.5,8.9
48,NOH,James Lang\langja01,0,1,11,55,11,11,2,0.444,0,0.6,5,1,1,0.2,0.1,0.047,-4,0
49,IND,James Jones\jonesja02,University of Miami,14,709,11098,3717,1276,366,0.401,0.401,0.84,15.7,5.2,1.8,0.5,25.2,0.109,-0.6,4
50,PHI,Paccelis Morlende\morlepa01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,NJN,Kyle Korver\korveky01,Creighton University,16,1157,29869,11420,3476,2018,0.444,0.43,0.879,25.8,9.9,3,1.7,70.4,0.113,0.8,21.1
52,TOR,Remon Van de Hare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,CHI,Tommy Smith,Arizona State University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,POR,Nedzad Sinanovic\sinanne01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,MIN,Rick Rickert,University of Minnesota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,BOS,Brandon Hunter\huntebr01,Ohio University,2,67,630,220,187,22,0.476,0,0.488,9.4,3.3,2.8,0.3,0.7,0.055,-5.4,-0.5
57,DAL,Xue Yuyang\yuyanxu01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,DET,Andreas Glyniadakis\glynian01,0,1,13,81,17,8,1,0.471,0,0.5,6.2,1.3,0.6,0.1,-0.2,-0.143,-12.1,-0.2
1,HOU,Yao Ming\mingya01,0,8,486,15818,9247,4494,769,0.524,0.2,0.833,32.5,19,9.2,1.6,65.9,0.2,2.3,17
2,CHI,Jay Williams\willija03,Duke University,1,75,1961,714,195,350,0.399,0.322,0.64,26.1,9.5,2.6,4.7,0.8,0.02,-2.2,-0.1
3,GSW,Mike Dunleavy\dunlemi02,Duke University,15,986,27340,11048,4211,2185,0.441,0.377,0.803,27.7,11.2,4.3,2.2,58.5,0.103,0.3,15.9
4,MEM,Drew Gooden\goodedr01,University of Kansas,14,790,20127,8653,5618,896,0.462,0.257,0.76,25.5,11,7.1,1.1,43.9,0.105,-1.5,2.3
5,DEN,Nikoloz Tskitishvili\tskitni01,0,4,172,1946,507,307,114,0.304,0.235,0.73,11.3,2.9,1.8,0.7,-1.6,-0.039,-6.3,-2.1
6,CLE,Dajuan Wagner\wagneda02,University of Memphis,4,103,2202,964,142,195,0.366,0.321,0.77,21.4,9.4,1.4,1.9,0,0,-5.6,-2
7,NYK,Nene Hilario\hilarne01,0,17,953,25093,10876,5795,1712,0.548,0.135,0.661,26.3,11.4,6.1,1.8,73.1,0.14,1.8,24.4
8,LAC,Chris Wilcox\wilcoch01,University of Maryland,11,628,12474,5150,3076,455,0.541,0,0.643,19.9,8.2,4.9,0.7,26.9,0.103,-1.6,1.2
9,PHO,Amar'e Stoudemire\stoudam01,0,14,846,26254,15994,6632,1050,0.537,0.236,0.761,31,18.9,7.8,1.2,92.5,0.169,0.5,16.8
10,MIA,Caron Butler\butleca01,University of Connecticut,14,881,28333,12430,4387,2007,0.434,0.348,0.847,32.2,14.1,5,2.3,50.9,0.086,0.2,15.9
11,WAS,Jared Jeffries\jeffrja01,Indiana University,11,629,13579,3003,2563,798,0.426,0.25,0.583,21.6,4.8,4.1,1.3,13.1,0.046,-0.9,3.8
12,LAC,Melvin Ely\elyme01,California State University Fresno,9,375,6005,1992,1215,261,0.46,0,0.625,16,5.3,3.2,0.7,4,0.032,-3.6,-2.4
13,MIL,Marcus Haislip\haislma01,University of Tennessee,4,89,854,311,131,16,0.437,0.35,0.659,9.6,3.5,1.5,0.2,0.5,0.026,-6.2,-0.9
14,IND,Fred Jones\jonesfr01,University of Oregon,7,430,10299,3206,958,990,0.411,0.353,0.809,24,7.5,2.2,2.3,16.5,0.077,-0.9,2.8
15,HOU,Bostjan Nachbar\nachbbo01,0,6,317,5628,2252,836,283,0.406,0.375,0.784,17.8,7.1,2.6,0.9,8.7,0.074,-2.3,-0.4
16,PHI,Jiri Welsch\welscji01,0,4,247,4596,1519,602,375,0.403,0.343,0.752,18.6,6.1,2.4,1.5,5.7,0.059,-2.1,-0.1
17,WAS,Juan Dixon\dixonju01,University of Maryland,7,436,8509,3678,816,775,0.413,0.341,0.833,19.5,8.4,1.9,1.8,6.1,0.034,-3,-2.1
18,ORL,Curtis Borchardt\borchcu01,Stanford University,2,83,1117,258,278,64,0.421,0,0.742,13.5,3.1,3.3,0.8,1,0.041,-2.4,-0.1
19,UTA,Ryan Humphrey\humphry01,University of Notre Dame,3,85,772,197,189,18,0.344,0,0.539,9.1,2.3,2.2,0.2,-0.4,-0.027,-7.6,-1.1
20,TOR,Kareem Rush\rushka01,University of Missouri,7,346,5956,2213,572,353,0.4,0.358,0.703,17.2,6.4,1.7,1,1.7,0.013,-4.1,-3.2
21,POR,Qyntel Woods\woodsqy01,Northeast Mississippi Community College,4,167,2060,691,385,105,0.452,0.357,0.603,12.3,4.1,2.3,0.6,1.4,0.032,-3,-0.5
22,PHO,Casey Jacobsen\jacobca01,Stanford University,4,287,5320,1488,516,304,0.393,0.352,0.769,18.5,5.2,1.8,1.1,6.2,0.056,-2.3,-0.4
23,DET,Tayshaun Prince\princta01,University of Kentucky,14,1017,31576,11272,4332,2406,0.455,0.367,0.756,31,11.1,4.3,2.4,63.1,0.096,0.1,16.6
24,NJN,Nenad Krstic\krstine01,0,7,419,10547,4210,2261,346,0.494,0.143,0.73,25.2,10,5.4,0.8,21.5,0.098,-2.6,-1.5
25,DEN,Frank Williams\willifr02,University of Illinois at Urbana-Champaign,3,86,952,253,77,166,0.352,0.3,0.833,11.1,2.9,0.9,1.9,0.1,0.003,-5,-0.7
26,SAS,John Salmons\salmojo01,University of Miami,13,895,23672,8292,2603,2183,0.431,0.366,0.799,26.4,9.3,2.9,2.4,33.9,0.069,-1,5.8
27,LAL,Chris Jefferies\jeffech01,California State University Fresno,2,72,861,281,88,29,0.383,0.365,0.667,12,3.9,1.2,0.4,-0.5,-0.03,-6.3,-0.9
28,SAC,Dan Dickau\dickada01,Gonzaga University,6,300,4617,1745,405,752,0.401,0.341,0.831,15.4,5.8,1.4,2.5,5.9,0.061,-2.3,-0.4
30,GSW,Steve Logan,University of Cincinnati,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,CHI,Roger Mason\masonro01,University of Virginia,10,518,9147,3289,897,677,0.408,0.383,0.866,17.7,6.3,1.7,1.3,13,0.068,-1.8,0.5
32,MEM,Robert Archibald\archiro01,University of Illinois at Urbana-Champaign,2,44,328,51,69,16,0.283,0,0.429,7.5,1.2,1.6,0.4,0,-0.004,-5,-0.2
33,DEN,Vincent Yarbrough\yarbrvi01,University of Tennessee,1,59,1381,406,162,130,0.393,0.269,0.79,23.4,6.9,2.7,2.2,1,0.035,-2.4,-0.1
34,MIL,Dan Gadzuric\gadzuda01,University of California Los Angeles,10,527,7793,2465,2326,196,0.5,0,0.498,14.8,4.7,4.4,0.4,15.8,0.097,-1.3,1.3
35,CLE,Carlos Boozer\boozeca01,Duke University,13,861,26901,13976,8192,1928,0.521,0.071,0.722,31.2,16.2,9.5,2.2,80.3,0.143,1.2,22.1
36,NYK,Milos Vujanic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,ATL,David Andersen\anderda03,0,2,103,1264,501,292,57,0.44,0.347,0.674,12.3,4.9,2.8,0.6,1.5,0.059,-4.2,-0.7
38,HOU,Tito Maddox\maddoti01,California State University Fresno,1,9,35,11,7,5,0.25,0,0.625,3.9,1.2,0.8,0.6,0,-0.011,-2.2,0
39,WAS,Rod Grizzard,University of Alabama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,WAS,Juan Carlos Navarro\navarju01,0,1,82,2117,896,210,177,0.402,0.361,0.849,25.8,10.9,2.6,2.2,1.4,0.031,-2.3,-0.1
41,LAC,Mario Kasun\kasunma01,0,2,73,569,198,188,11,0.467,0,0.636,7.8,2.7,2.6,0.2,0.8,0.069,-5.9,-0.6
42,MIL,Ronald Murray\murraro01,Shaw University,8,487,11077,4817,1006,1096,0.414,0.304,0.725,22.7,9.9,2.1,2.3,8.5,0.037,-2.9,-2.6
43,POR,Jason Jennings,Arkansas State University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,CHI,Lonny Baxter\baxtelo01,University of Maryland,4,162,1884,637,477,40,0.466,0.2,0.657,11.6,3.9,2.9,0.2,2.9,0.075,-5.1,-1.5
45,PHI,Sam Clancy,University of Southern California,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,MEM,Matt Barnes\barnema02,University of California Los Angeles,14,929,21967,7589,4281,1691,0.436,0.335,0.745,23.6,8.2,4.6,1.8,42.8,0.093,1,16.7
47,UTA,Jamal Sampson\sampsja01,University of California,5,72,631,142,242,26,0.491,0,0.537,8.8,2,3.4,0.4,1.4,0.106,-2.1,0
48,MIL,Chris Owens\owensch01,University of Texas at Austin,1,1,6,4,1,0,0.667,0,0,6,4,1,0,0,-0.032,-10.7,0
49,SEA,Peter Fehse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,BOS,Darius Songaila\songada01,Wake Forest University,8,495,9229,3415,1689,589,0.499,0.158,0.844,18.6,6.9,3.4,1.2,15.9,0.083,-1.7,0.7
51,POR,Federico Kammerichs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,MIN,Marcus Taylor,Michigan State University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,MIA,Rasual Butler\butlera01,La Salle University,13,809,17219,6092,1934,658,0.403,0.362,0.747,21.3,7.5,2.4,0.8,20.8,0.058,-2.1,-0.4
54,NJN,Tamar Slay\slayta01,Marshall University,3,66,517,173,70,31,0.361,0.265,0.538,7.8,2.6,1.1,0.5,-0.3,-0.029,-6,-0.5
55,DAL,Mladen Sekularac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,SAS,Luis Scola\scolalu01,0,10,743,19001,8882,4941,1194,0.493,0.339,0.74,25.6,12,6.7,1.6,45.7,0.115,-0.5,7.3
57,SAS,Randy Holcomb\holcora01,San Diego State University,1,4,11,2,1,0,1,0,0,2.8,0.5,0.3,0,0,0.15,-1.8,0
58,SAC,Corsley Edwards\edwarco01,Central Connecticut State University,1,10,110,27,25,3,0.323,0,0.583,11,2.7,2.5,0.3,0.1,0.026,-5.2,-0.1
1,WAS,Kwame Brown\brownkw01,0,12,607,13389,4035,3333,554,0.492,0.111,0.57,22.1,6.6,5.5,0.9,20.8,0.074,-2.1,-0.4
2,LAC,Tyson Chandler\chandty01,0,18,1130,31362,9468,10390,961,0.596,0,0.645,27.8,8.4,9.2,0.9,101.5,0.155,1.5,27.5
3,ATL,Pau Gasol\gasolpa01,0,18,1223,40971,20890,11295,3923,0.507,0.369,0.754,33.5,17.1,9.2,3.2,144.1,0.169,3.5,56.9
4,CHI,Eddy Curry\curryed01,0,11,527,13109,6820,2725,287,0.545,1,0.642,24.9,12.9,5.2,0.5,21.7,0.08,-3.5,-5
5,GSW,Jason Richardson\richaja01,Michigan State University,13,857,29241,14644,4245,2284,0.438,0.37,0.707,34.1,17.1,5,2.7,59.1,0.097,1.3,24.4
6,MEM,Shane Battier\battish01,Duke University,13,977,30004,8408,4082,1717,0.437,0.384,0.743,30.7,8.6,4.2,1.8,75.7,0.121,2.9,37
7,NJN,Eddie Griffin\griffed01,Seton Hall University,5,303,6729,2171,1744,236,0.377,0.315,0.671,22.2,7.2,5.8,0.8,10.9,0.078,-1,1.7
8,CLE,DeSagana Diop\diopde01,0,12,601,8403,1185,2219,270,0.427,0.167,0.467,14,2,3.7,0.4,12.8,0.073,0,4.3
9,DET,Rodney White\whitero02,University of North Carolina at Charlotte,4,218,3354,1540,485,237,0.424,0.314,0.749,15.4,7.1,2.2,1.1,1.8,0.026,-3.8,-1.5
10,BOS,Joe Johnson\johnsjo02,University of Arkansas,17,1276,44234,20405,5059,5001,0.441,0.371,0.802,34.7,16,4,3.9,82.8,0.09,0.4,26.4
11,BOS,Kedrick Brown\brownke01,Okaloosa-Walton Community College,4,143,1935,509,347,103,0.405,0.274,0.64,13.5,3.6,2.4,0.7,3,0.074,-2.2,-0.1
12,SEA,Vladimir Radmanovic\radmavl01,0,12,737,16164,5879,2784,998,0.415,0.378,0.758,21.9,8,3.8,1.4,26.5,0.079,-0.1,7.7
13,HOU,Richard Jefferson\jefferi01,University of Arizona,17,1181,34293,14904,4720,2412,0.464,0.376,0.768,29,12.6,4,2,83,0.116,0.3,19.8
14,GSW,Troy Murphy\murphtr01,University of Notre Dame,12,729,19921,7860,5708,1088,0.445,0.388,0.785,27.3,10.8,7.8,1.5,50.3,0.121,-0.1,9.5
15,ORL,Steven Hunter\huntest01,DePaul University,8,400,5993,1817,1264,79,0.56,0,0.485,15,4.5,3.2,0.2,10.6,0.085,-2.8,-1.3
16,CHH,Kirk Haston\hastoki01,Indiana University,2,27,134,32,27,8,0.232,0,0.5,5,1.2,1,0.3,-0.5,-0.197,-13.5,-0.4
17,TOR,Michael Bradley\bradlmi01,Villanova University,5,173,2016,483,591,93,0.477,0.143,0.511,11.7,2.8,3.4,0.5,2,0.047,-3.7,-0.9
18,HOU,Jason Collins\collija04,Stanford University,13,735,14974,2621,2706,626,0.411,0.206,0.647,20.4,3.6,3.7,0.9,20.1,0.064,-2,0.2
19,POR,Zach Randolph\randoza01,Michigan State University,17,1116,34616,18578,10208,2049,0.471,0.273,0.764,31,16.6,9.1,1.8,81.1,0.112,-0.4,13.6
20,CLE,Brendan Haywood\haywobr01,University of North Carolina,13,816,18680,5538,4875,442,0.528,0,0.587,22.9,6.8,6,0.5,43.8,0.113,-0.2,8.4
21,BOS,Joseph Forte\fortejo01,University of North Carolina,2,25,125,30,17,17,0.234,0,0.8,5,1.2,0.7,0.7,-0.4,-0.166,-10.1,-0.3
22,ORL,Jeryl Sasser\sasseje01,Southern Methodist University,2,82,1061,204,191,67,0.303,0.295,0.687,12.9,2.5,2.3,0.8,0.7,0.032,-2.9,-0.2
23,HOU,Brandon Armstrong\armstbr01,Pepperdine University,3,108,699,239,63,24,0.352,0.333,0.6,6.5,2.2,0.6,0.2,-0.6,-0.039,-8.6,-1.2
24,UTA,Raul Lopez\lopezra01,0,2,113,2135,733,194,428,0.429,0.346,0.853,18.9,6.5,1.7,3.8,2.1,0.047,-3.5,-0.8
25,SAC,Gerald Wallace\wallage01,University of Alabama,14,832,24731,9933,4838,1725,0.469,0.312,0.709,29.7,11.9,5.8,2.1,59.7,0.116,2.4,27.3
26,PHI,Samuel Dalembert\dalemsa01,Seton Hall University,13,886,21646,6814,6942,465,0.521,0.083,0.706,24.4,7.7,7.8,0.5,51.3,0.114,-0.7,7.2
27,MEM,Jamaal Tinsley\tinslja01,Iowa State University,11,547,14443,4652,1605,3330,0.393,0.299,0.716,26.4,8.5,2.9,6.1,17.2,0.057,-0.4,5.7
28,SAS,Tony Parker\parketo01,0,18,1247,38169,19413,3388,7016,0.491,0.323,0.751,30.6,15.6,2.7,5.6,111.4,0.14,0.7,25.9
30,CHI,Trenton Hassell\hassetr01,Austin Peay State University,9,644,16278,3741,1826,1132,0.445,0.318,0.765,25.3,5.8,2.8,1.8,13.8,0.041,-2.3,-1.3
31,GSW,Gilbert Arenas\arenagi01,University of Arizona,11,552,19351,11402,2168,2909,0.421,0.351,0.803,35.1,20.7,3.9,5.3,51.3,0.127,2.9,24.1
32,ORL,Omar Cook\cookom01,St. John's University,2,22,213,37,13,46,0.333,0,0.5,9.7,1.7,0.6,2.1,-0.1,-0.021,-6.1,-0.2
33,MEM,Will Solomon\solomwi01,Clemson University,2,115,1584,584,132,225,0.378,0.298,0.692,13.8,5.1,1.1,2,0,0,-4.7,-1.1
34,ATL,Terence Morris\morrite01,University of Maryland,3,139,1934,472,377,93,0.407,0.196,0.711,13.9,3.4,2.7,0.7,1,0.025,-3.6,-0.8
35,NJN,Brian Scalabrine\scalabr01,University of Southern California,11,520,6772,1594,1034,436,0.39,0.344,0.783,13,3.1,2,0.8,7.6,0.054,-2.6,-1.1
36,CLE,Jeff Trepagnier\trepaje01,University of Southern California,3,31,270,88,43,22,0.337,0.462,0.7,8.7,2.8,1.4,0.7,-0.2,-0.038,-4.8,-0.2
37,PHI,Damone Brown\brownda02,Syracuse University,4,39,351,108,52,19,0.336,0.286,0.667,9,2.8,1.3,0.5,-0.7,-0.1,-10.3,-0.7
38,DET,Mehmet Okur\okurme01,0,10,634,18429,8561,4436,1089,0.458,0.375,0.797,29.1,13.5,7,1.7,54.7,0.142,1.4,15.7
39,NYK,Michael Wright,University of Arizona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,SEA,Earl Watson\watsoea01,University of California Los Angeles,13,878,19494,5593,1985,3871,0.411,0.324,0.703,22.2,6.4,2.3,4.4,19.2,0.047,-1.8,1
41,IND,Jamison Brewer\breweja01,Auburn University,4,54,468,89,50,56,0.372,0.25,0.393,8.7,1.6,0.9,1,0,-0.001,-4.4,-0.3
42,SEA,Bobby Simmons\simmobo01,DePaul University,10,466,11513,4189,1791,710,0.437,0.396,0.823,24.7,9,3.8,1.5,20.1,0.084,-0.1,5.4
43,NYK,Eric Chenowith,University of Kansas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,DAL,Kyle Hill,Eastern Illinois University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,CHI,Sean Lampley\lamplse01,University of California,2,45,550,203,94,33,0.463,0,0.691,12.2,4.5,2.1,0.7,1.1,0.096,-3.2,-0.2
46,MIN,Loren Woods\woodslo01,University of Arizona,6,215,2428,555,682,74,0.419,0.143,0.642,11.3,2.6,3.2,0.3,3.1,0.062,-2.9,-0.6
47,DEN,Ousmane Cisse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,MEM,Antonis Fotsis\fotsian01,0,1,28,320,108,62,10,0.404,0.304,0.85,11.4,3.9,2.2,0.4,0.1,0.017,-4.9,-0.2
49,MIA,Ken Johnson\johnske03,Ohio State University,1,16,156,32,32,0,0.405,0,0.333,9.8,2,2,0,0,-0.002,-10,-0.3
50,POR,Ruben Boumtje-Boumtje\boumtru01,Georgetown University,3,44,276,43,57,6,0.368,0,0.556,6.3,1,1.3,0.1,0.2,0.027,-4.5,-0.2
51,PHO,Alton Ford\fordal02,University of Houston,3,73,524,186,124,11,0.507,0,0.697,7.2,2.5,1.7,0.2,0.8,0.074,-6.5,-0.6
52,MIL,Andre Hutson,Michigan State University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,UTA,Jarron Collins\collija03,Stanford University,10,542,8542,2095,1579,419,0.455,0,0.699,15.8,3.9,2.9,0.8,15.7,0.088,-1.8,0.5
54,DAL,Kenny Satterfield\satteke01,University of Cincinnati,2,75,1062,321,95,176,0.335,0.218,0.746,14.2,4.3,1.3,2.3,-1.1,-0.051,-6.1,-1.1
55,SAC,Maurice Jeffers,Saint Louis University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,SAS,Robertas Javtokas\javtoro01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,PHI,Alvin Jones\jonesal01,Georgia Institute of Technology,1,23,126,26,36,3,0.4,0,0.5,5.5,1.1,1.6,0.1,0.1,0.034,-4.5,-0.1
58,SAS,Bryan Bracey,University of Oregon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,NJN,Kenyon Martin\martike01,University of Cincinnati,15,757,23134,9325,5159,1439,0.483,0.234,0.629,30.6,12.3,6.8,1.9,48,0.1,0.7,15.5
2,VAN,Stromile Swift\swiftst01,Louisiana State University,9,547,10804,4582,2535,275,0.473,0.074,0.699,19.8,8.4,4.6,0.5,21.3,0.095,-1.9,0.2
3,LAC,Darius Miles\milesda01,0,7,446,11730,4507,2190,840,0.472,0.168,0.59,26.3,10.1,4.9,1.9,9.5,0.039,-1.2,2.3
4,CHI,Marcus Fizer\fizerma01,Iowa State University,6,289,6032,2782,1340,352,0.435,0.191,0.691,20.9,9.6,4.6,1.2,2.7,0.022,-4.7,-4.1
5,ORL,Mike Miller\millemi01,University of Florida,17,1032,27812,10973,4376,2666,0.459,0.407,0.769,26.9,10.6,4.2,2.6,60.7,0.105,0.9,20.3
6,ATL,DerMarr Johnson\johnsde03,University of Cincinnati,7,344,5930,2121,769,304,0.411,0.336,0.789,17.2,6.2,2.2,0.9,6.4,0.052,-1.6,0.6
7,CHI,Chris Mihm\mihmch01,University of Texas at Austin,8,436,8758,3262,2302,223,0.459,0.231,0.704,20.1,7.5,5.3,0.5,13.3,0.073,-3.8,-4.1
8,CLE,Jamal Crawford\crawfja01,University of Michigan,19,1313,38676,19240,2926,4478,0.41,0.347,0.862,29.5,14.7,2.2,3.4,60,0.074,-1.1,8.9
9,HOU,Joel Przybilla\przybjo01,University of Minnesota,13,592,11733,2293,3665,256,0.552,0,0.557,19.8,3.9,6.2,0.4,23,0.094,-0.9,3.3
10,ORL,Keyon Dooling\doolike01,University of Missouri,13,728,14134,5067,964,1601,0.416,0.349,0.799,19.4,7,1.3,2.2,18.5,0.063,-3,-3.6
11,BOS,Jerome Moiso\moisoje01,University of California Los Angeles,5,145,1392,386,395,38,0.489,0,0.593,9.6,2.7,2.7,0.3,2.1,0.074,-3.8,-0.6
12,DAL,Etan Thomas\thomaet01,Syracuse University,9,409,7084,2341,1927,149,0.513,0,0.603,17.3,5.7,4.7,0.4,14.9,0.101,-2.6,-1
13,ORL,Courtney Alexander\alexaco02,California State University Fresno,3,187,4067,1690,409,227,0.422,0.339,0.813,21.7,9,2.2,1.2,4.1,0.048,-4,-2.1
14,DET,Mateen Cleaves\cleavma01,Michigan State University,6,167,1863,609,175,310,0.389,0.267,0.728,11.2,3.6,1,1.9,-0.8,-0.021,-6.3,-2
15,MIL,Jason Collier\collija02,Georgia Institute of Technology,5,151,2178,841,443,51,0.455,0.35,0.738,14.4,5.6,2.9,0.3,1.9,0.042,-6.3,-2.3
16,SAC,Hedo Turkoglu\turkohe01,0,15,997,26695,11022,3971,2832,0.426,0.384,0.784,26.8,11.1,4,2.8,63.3,0.114,1.2,21.4
17,SEA,Desmond Mason\masonde01,Oklahoma State University,10,643,19641,7767,2863,1049,0.449,0.26,0.74,30.5,12.1,4.5,1.6,23.1,0.056,-2.4,-1.9
18,LAC,Quentin Richardson\richaqu01,DePaul University,13,783,20785,8032,3666,1138,0.397,0.355,0.718,26.5,10.3,4.7,1.5,32.8,0.076,-0.3,8.9
19,CHH,Jamaal Magloire\magloja01,University of Kentucky,12,680,14621,4917,4408,386,0.48,0,0.639,21.5,7.2,6.5,0.6,27.7,0.091,-2.9,-3.3
20,PHI,Speedy Claxton\claxtsp01,Hofstra University,7,334,8548,3096,830,1441,0.409,0.193,0.762,25.6,9.3,2.5,4.3,14.2,0.08,-0.7,2.8
21,TOR,Morris Peterson\petermo01,Michigan State University,11,711,19366,7628,2483,1090,0.418,0.373,0.773,27.2,10.7,3.5,1.5,35.7,0.089,0,9.7
22,NYK,Donnell Harvey\harvedo01,University of Florida,5,205,3318,1150,827,161,0.46,0.1,0.659,16.2,5.6,4,0.8,4.7,0.069,-2.7,-0.6
23,UTA,DeShawn Stevenson\stevede01,0,13,824,18396,5930,1832,1355,0.406,0.34,0.698,22.3,7.2,2.2,1.6,12.1,0.032,-3,-4.6
24,CHI,Dalibor Bagaric\bagarda01,0,3,95,973,251,238,37,0.361,0,0.559,10.2,2.6,2.5,0.4,-0.9,-0.043,-6.8,-1.2
25,PHO,Jake Tsakalidis\tsakaja01,0,7,315,5005,1497,1238,101,0.49,0,0.657,15.9,4.8,3.9,0.3,9.9,0.095,-3.1,-1.3
26,DEN,Mamadou N'Diaye\ndiayma02,Auburn University,5,69,858,262,225,8,0.427,0,0.736,12.4,3.8,3.3,0.1,1.8,0.101,-5.3,-0.7
27,IND,Primoz Brezec\brezepr01,0,8,342,6192,2452,1327,179,0.498,0.167,0.701,18.1,7.2,3.9,0.5,10.8,0.084,-2.5,-0.8
28,POR,Erick Barkley\barkler01,St. John's University,2,27,266,77,21,40,0.356,0.267,0.9,9.9,2.9,0.8,1.5,0.2,0.027,-3.8,-0.1
29,LAL,Mark Madsen\madsema01,Stanford University,9,453,5335,975,1157,181,0.457,0.063,0.527,11.8,2.2,2.6,0.4,8.2,0.074,-2.2,-0.2
30,LAC,Marko Jaric\jaricma01,0,7,447,11246,3193,1200,1600,0.404,0.344,0.73,25.2,7.1,2.7,3.6,12.1,0.052,-0.5,4.3
31,DAL,Dan Langhi\langhda01,Vanderbilt University,4,133,1253,393,199,39,0.391,0.289,0.613,9.4,3,1.5,0.3,0.3,0.012,-6.8,-1.5
32,CHI,A.J. Guyton\guytoaj01,Indiana University,3,80,1246,442,80,147,0.377,0.378,0.822,15.6,5.5,1,1.8,0.3,0.01,-5.4,-1.1
33,CHI,Jake Voskuhl\voskuja01,University of Connecticut,9,450,6443,1814,1539,237,0.487,0.333,0.714,14.3,4,3.4,0.5,11.6,0.087,-2.2,-0.3
34,CHI,Khalid El-Amin\elamikh01,University of Connecticut,1,50,936,314,81,145,0.37,0.333,0.778,18.7,6.3,1.6,2.9,0.6,0.03,-3.8,-0.4
35,WAS,Mike Smith\smithmi03,University of Louisiana at Monroe,1,17,180,51,22,10,0.322,0.167,0.625,10.6,3,1.3,0.6,-0.1,-0.033,-5.5,-0.2
36,NJN,Soumaila Samake\samakso01,0,2,47,303,68,76,5,0.389,0,0.462,6.4,1.4,1.6,0.1,0.3,0.046,-6.5,-0.3
37,MIA,Eddie House\houseed01,Arizona State University,11,717,12405,5356,1223,1112,0.409,0.39,0.851,17.3,7.5,1.7,1.6,20,0.077,-1.5,1.6
38,HOU,Eduardo Najera\najered01,University of Oklahoma,12,619,11213,3052,2307,493,0.481,0.311,0.671,18.1,4.9,3.7,0.8,24.7,0.106,0.3,6.4
