0,0,Round 1,Round 1,0,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
6,ATL,Josh Childress\childjo01,Stanford University,8,391,10432,3548,1850,609,0.522,0.329,0.779,26.7,9.1,4.7,1.6,25.7,0.118,1.3,8.6
7,PHO,Luol Deng\denglu01,Duke University,15,901,30933,13361,5467,2042,0.456,0.332,0.769,34.3,14.8,6.1,2.3,74.1,0.115,0.9,22.6
8,TOR,Rafael Araujo\araujra01,Brigham Young University,3,139,1585,389,395,41,0.405,0.25,0.679,11.4,2.8,2.8,0.3,-0.4,-0.013,-6.4,-1.8
9,PHI,Andre Iguodala\iguodan01,University of Arizona,15,1093,36715,13387,5582,4779,0.465,0.334,0.711,33.6,12.2,5.1,4.4,95.5,0.125,2.9,45.2
10,CLE,Luke Jackson\jackslu02,University of Oregon,4,73,724,252,89,58,0.357,0.36,0.732,9.9,3.5,1.2,0.8,0.2,0.01,-4.4,-0.4
11,GSW,Andris Biedrins\biedran01,0,10,516,11146,3247,3631,467,0.594,0,0.5,21.6,6.3,7,0.9,30.7,0.132,1.1,8.6
12,SEA,Robert Swift\swiftro01,0,4,97,1500,416,376,20,0.506,0,0.61,15.5,4.3,3.9,0.2,1.7,0.054,-4.1,-0.8
13,POR,Sebastian Telfair\telfase01,0,10,564,12149,4183,898,1960,0.39,0.319,0.777,21.5,7.4,1.6,3.5,5,0.02,-3.9,-5.8
14,UTA,Kris Humphries\humphkr01,University of Minnesota,13,800,14232,5350,4314,556,0.463,0.293,0.7,17.8,6.7,5.4,0.7,30.3,0.102,-2,0.1
15,BOS,Al Jefferson\jeffeal01,0,14,915,26299,14343,7690,1347,0.499,0.121,0.711,28.7,15.7,8.4,1.5,71,0.13,0.3,15.1
16,UTA,Kirk Snyder\snydeki01,University of Nevada Reno,4,211,3540,1333,491,241,0.438,0.327,0.699,16.8,6.3,2.3,1.1,4.5,0.061,-2,0
17,ATL,Josh Smith\smithjo03,0,13,894,29000,12996,6653,2789,0.452,0.285,0.632,32.4,14.5,7.4,3.1,51,0.084,2.1,29.9
18,NOH,J.R. Smith\smithjr01,0,15,971,26196,12131,3068,2074,0.419,0.373,0.732,27,12.5,3.2,2.1,46.4,0.085,0.2,14.5
19,MIA,Dorell Wright\wrighdo01,0,11,549,12280,4597,2093,850,0.424,0.365,0.806,22.4,8.4,3.8,1.5,25.9,0.101,0.4,7.4
20,DEN,Jameer Nelson\nelsoja01,Saint Joseph's University,14,878,24539,9940,2595,4508,0.436,0.368,0.81,27.9,11.3,3,5.1,48.3,0.094,0,12.7
21,UTA,Pavel Podkolzin\podkopa01,0,2,6,28,4,9,0,0,0,0.5,4.7,0.7,1.5,0,-0.1,-0.163,-18.8,-0.1
22,NJN,Viktor Khryapa\khryavi01,0,4,143,2351,643,492,142,0.443,0.292,0.658,16.4,4.5,3.4,1,2,0.041,-1.8,0.1
23,POR,Sergei Monia\moniase01,0,1,26,343,77,52,19,0.333,0.265,0.714,13.2,3,2,0.7,-0.2,-0.025,-5.1,-0.3
24,BOS,Delonte West\westde01,Saint Joseph's University,8,432,11842,4198,1265,1540,0.448,0.372,0.826,27.4,9.7,2.9,3.6,24.5,0.099,0.5,7.6
25,BOS,Tony Allen\allento01,Oklahoma State University,14,820,18055,6654,2884,1077,0.475,0.282,0.709,22,8.1,3.5,1.3,38.7,0.103,1,13.7
26,SAC,Kevin Martin\martike02,Western Carolina University,12,714,21559,12396,2278,1352,0.437,0.384,0.87,30.2,17.4,3.2,1.9,61.3,0.137,0.1,11.3
27,LAL,Sasha Vujacic\vujacsa01,0,10,581,8908,3094,1093,748,0.39,0.367,0.858,15.3,5.3,1.9,1.3,16,0.086,-1.1,2
28,SAS,Beno Udrih\udrihbe01,0,13,831,18185,6952,1712,2858,0.463,0.349,0.833,21.9,8.4,2.1,3.4,31.4,0.083,-1.6,2
29,IND,David Harrison\harrida01,University of Colorado,4,189,2686,949,549,47,0.53,0,0.525,14.2,5,2.9,0.2,3.2,0.057,-3.4,-1
30,ORL,Anderson Varejao\varejan01,0,13,627,15051,4561,4511,734,0.51,0.024,0.631,24,7.3,7.2,1.2,46.4,0.148,1.5,13.3
31,CHI,Jackson Vroman\vromaja01,Iowa State University,2,87,1111,285,261,51,0.408,0,0.58,12.8,3.3,3,0.6,0,0.001,-3.9,-0.5
32,WAS,Peter John Ramos\ramospe01,0,1,6,20,11,4,0,0.5,0,0.5,3.3,1.8,0.7,0,0,-0.108,-18.3,-0.1
33,LAC,Lionel Chalmers\chalmli01,Xavier University,1,36,433,111,31,51,0.336,0.245,0.625,12,3.1,0.9,1.4,-0.2,-0.025,-6.3,-0.5
34,ATL,Donta Smith\smithdo04,Southeastern Illinois College,2,61,560,165,66,48,0.421,0.308,0.65,9.2,2.7,1.1,0.8,0.5,0.043,-3.2,-0.2
35,SEA,Andre Emmett\emmetan01,Texas Tech University,2,14,73,20,8,1,0.462,0,0.615,5.2,1.4,0.6,0.1,0.1,0.04,-6.8,-0.1
36,ORL,Antonio Burks\burksan01,University of Memphis,2,81,789,186,49,104,0.387,0.235,0.571,9.7,2.3,0.6,1.3,0.1,0.004,-6.6,-0.9
37,ATL,Royal Ivey\iveyro01,University of Texas at Austin,10,492,6162,1641,557,501,0.406,0.361,0.706,12.5,3.3,1.1,1,4.5,0.035,-3.8,-2.8
38,CHI,Chris Duhon\duhonch01,Duke University,9,606,15526,3946,1364,2690,0.393,0.363,0.784,25.6,6.5,2.3,4.4,25,0.077,-1.5,2
39,TOR,Albert Miralles\miralal01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,BOS,Justin Reed\reedju01,University of Mississippi,3,136,1436,472,186,68,0.404,0,0.752,10.6,3.5,1.4,0.5,0.5,0.016,-5.9,-1.4
41,SEA,David Young,North Carolina Central University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,ATL,Viktor Sanikidze\sanikvi01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,NYK,Trevor Ariza\arizatr01,University of California Los Angeles,15,998,29792,10635,4824,2171,0.422,0.351,0.727,29.9,10.7,4.8,2.2,59.3,0.096,1.5,26.1
44,NOH,Tim Pickett,Florida State University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,CHA,Bernard Robinson\robinbe01,University of Michigan,3,128,1909,576,315,126,0.417,0.161,0.786,14.9,4.5,2.5,1,2,0.049,-2,0
46,POR,Ha Seung-Jin\seungha01,0,2,46,316,70,67,3,0.519,0,0.5,6.9,1.5,1.5,0.1,-0.2,-0.029,-8.3,-0.5
47,MIA,Pape Sow\sowpa01,California State University Fullerton,3,76,879,219,214,12,0.416,0,0.678,11.6,2.9,2.8,0.2,0.8,0.044,-4.8,-0.6
48,SAC,Ricky Minard,Morehead State University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,MEM,Sergei Lishouk\lishcse01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,DAL,Vassilis Spanoulis\spanova01,0,1,31,272,85,22,28,0.319,0.172,0.81,8.8,2.7,0.7,0.9,-0.1,-0.01,-6.7,-0.3
51,NJN,Christian Drejer,University of Florida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,SAS,Romain Sato,Xavier University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,MIA,Matt Freije\freijma01,Vanderbilt University,2,42,588,133,85,27,0.293,0.224,0.714,14,3.2,2,0.6,-0.6,-0.047,-6.3,-0.6
